sample,lati,longi,elevation,age,error,sys,ref,,,elevation,age,error,
HDSP-207,49.83,12.12,-2501,,2.4,AFT,"D.A.Coyle1997, Geol Rundsch",,,-2501,43.9,2.4,
HDSP-208,49.83,12.12,-2507,,3.7,AFT,"D.A.Coyle1997, Geol Rundsch",,,-2507,40.6,3.7,
HDSP-209,49.83,12.12,-2572,,3.8,AFT,"D.A.Coyle1997, Geol Rundsch",,,-2572,45.7,3.8,
HDSP-210,49.83,12.12,-2626,,2.6,AFT,"D.A.Coyle1997, Geol Rundsch",,,-2626,42.4,2.6,
HDSP-211,49.83,12.12,-2689,,2.9,AFT,"D.A.Coyle1997, Geol Rundsch",,,-2689,39.1,2.9,
HDSP-212,49.83,12.12,-2788,,2.4,AFT,"D.A.Coyle1997, Geol Rundsch",,,-2788,42.6,2.4,
HDSP-213,49.83,12.12,-2915,,2.1,AFT,"D.A.Coyle1997, Geol Rundsch",,,-2915,35.4,2.1,
HDSP-215,49.83,12.12,-3060,,1.9,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3060,35.8,1.9,
HDSP-216,49.83,12.12,-3128,,1.9,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3128,33,1.9,
HDSP-217,49.83,12.12,-3193,,1.6,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3193,24.4,1.6,
HDSP-218,49.83,12.12,-3256,,1.5,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3256,27.1,1.5,
HDSP-219,49.83,12.12,-3358,,1.3,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3358,23.2,1.3,
HDSP-220,49.83,12.12,-3429,,1.4,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3429,19.9,1.4,
HDSP-221,49.83,12.12,-3502,,1.4,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3502,20.1,1.4,
HDSP-222,49.83,12.12,-3568,,0.8,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3568,14.3,0.8,
HDSP-223,49.83,12.12,-3608,,1.2,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3608,17.3,1.2,
HDSP-224,49.83,12.12,-3673,,1.7,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3673,13.9,1.7,
HDSP-225,49.83,12.12,-3784,,0.9,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3784,9.4,0.9,
HDSP-227,49.83,12.12,-3887,,0.5,AFT,"D.A.Coyle1997, Geol Rundsch",,,-3887,6.2,0.5,
KTB-172m,49.83,12.12,-172,60.5,3.9,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-172,60.5,3.9,
KTB-316m,49.83,12.12,-316,50.3,3.3,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-316,50.3,3.3,
KTB-435m,49.83,12.12,-435,53.5,3.5,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-435,53.5,3.5,
KTB-920m,49.83,12.12,-920,,4,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-920,61.6,4,
KTB-1901m,49.83,12.12,-1901,,2.2,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-1901,34.1,2.2,
KTB-2353m,49.83,12.12,-2353,,1.4,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-2353,21.6,1.4,
KTB-2789m,49.83,12.12,-2789,,1.9,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-2789,30.1,1.9,
KTB-2954m,49.83,12.12,-2954,,0.5,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-2954,9.6,0.5,
KTB-3129m,49.83,12.12,-3129,,1.3,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-3129,20,1.3,
KTB-3502m,49.83,12.12,-3502,,0.5,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-3502,8.5,0.5,
KTB-3832m,49.83,12.12,-3832,,0.4,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-3832,6.1,0.4,
KTB-3887m,49.83,12.12,-3887,,0.2,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta",,,-3887,3.2,0.2,
ZKTBQ,49.83,12.12,0,92.3,3.7,ZHe,"WolfeStockli2010, EPSL",,,0,92.3,7.4,3.7
ZKTB 52,49.83,12.12,-52,95.7,3.85,ZHe,"WolfeStockli2010, EPSL",,,-52,95.7,7.7,3.85
ZKTB 125,49.83,12.12,-125,93.2,3.75,ZHe,"WolfeStockli2010, EPSL",,,-125,93.2,7.5,3.75
ZKTB 525,49.83,12.12,-525,77.7,3.1,ZHe,"WolfeStockli2010, EPSL",,,-525,77.7,6.2,3.1
ZKTB 1230,49.83,12.12,-1230,,8.9,ZHe,"WolfeStockli2010, EPSL",,,-1230,111.7,8.9,4.45
ZKTB 1358,49.83,12.12,-1358,,7.4,ZHe,"WolfeStockli2010, EPSL",,,-1358,92.6,7.4,3.7
ZKTB 1516,49.83,12.12,-1516,,7.6,ZHe,"WolfeStockli2010, EPSL",,,-1516,94.9,7.6,3.8
ZKTB 1575,49.83,12.12,-1575,,5.7,ZHe,"WolfeStockli2010, EPSL",,,-1575,71.2,5.7,2.85
ZKTB 1740,49.83,12.12,-1740,,6.7,ZHe,"WolfeStockli2010, EPSL",,,-1740,83.5,6.7,3.35
ZKTB 2020,49.83,12.12,-2020,,3.3,ZHe,"WolfeStockli2010, EPSL",,,-2020,82.6,6.6,3.3
ZKTB 2507,49.83,12.12,-2507,,3.5,ZHe,"WolfeStockli2010, EPSL",,,-2507,87.3,7,3.5
Z747 A1,49.83,12.12,-3059,,2.85,ZHe,"WolfeStockli2010, EPSL",,,-3059,71.7,5.7,2.85
Z798A1g2,49.83,12.12,-3269,,2.9,ZHe,"WolfeStockli2010, EPSL",,,-3269,72,5.8,2.9
ZKTB 3575,49.83,12.12,-3575,,3.05,ZHe,"WolfeStockli2010, EPSL",,,-3575,76.1,6.1,3.05
ZKTB 4050,49.83,12.12,-4050,,0.7,ZHe,"WolfeStockli2010, EPSL",,,-4050,81.4,1.4,0.7
ZKTB 4088,49.83,12.12,-4088,,3.25,ZHe,"WolfeStockli2010, EPSL",,,-4088,81.7,6.5,3.25
ZKTB 4124,49.83,12.12,-4124,,3.05,ZHe,"WolfeStockli2010, EPSL",,,-4124,76.7,6.1,3.05
ZKTB 4620,49.83,12.12,-4620,,3.3,ZHe,"WolfeStockli2010, EPSL",,,-4620,82.2,6.6,3.3
ZKTB 4668,49.83,12.12,-4668,,3.2,ZHe,"WolfeStockli2010, EPSL",,,-4668,80.5,6.4,3.2
ZKTB 5008,49.83,12.12,-5008,,2.3,ZHe,"WolfeStockli2010, EPSL",,,-5008,57.5,4.6,2.3
ZKTB 5608,49.83,12.12,-5608,,1.65,ZHe,"WolfeStockli2010, EPSL",,,-5608,40.7,3.3,1.65
ZKTB 5450,49.83,12.12,-5450,,2.45,ZHe,"WolfeStockli2010, EPSL",,,-5450,61.2,4.9,2.45
ZKTB 5720,49.83,12.12,-5720,,1.15,ZHe,"WolfeStockli2010, EPSL",,,-5720,29.3,2.3,1.15
ZKTB 5975,49.83,12.12,-5975,,0.05,ZHe,"WolfeStockli2010, EPSL",,,-5975,29.6,0.1,0.05
ZKTB 6255,49.83,12.12,-6255,,0.55,ZHe,"WolfeStockli2010, EPSL",,,-6255,13.3,1.1,0.55
ZKTB 6500,49.83,12.12,-6500,,0.2,ZHe,"WolfeStockli2010, EPSL",,,-6500,4.8,0.4,0.2
ZKTB 6562,49.83,12.12,-6562,,0.7,ZHe,"WolfeStockli2010, EPSL",,,-6562,22.8,1.4,0.7
ZKTB 6750,49.83,12.12,-6750,,0.6,ZHe,"WolfeStockli2010, EPSL",,,-6750,15.3,1.2,0.6
ZKTB 7152,49.83,12.12,-7152,,0.4,ZHe,"WolfeStockli2010, EPSL",,,-7152,10.2,0.8,0.4
ZKTB 7154,49.83,12.12,-7154,,0.35,ZHe,"WolfeStockli2010, EPSL",,,-7154,8.4,0.7,0.35
ZKTB  7244,49.83,12.12,-7244,,0.05,ZHe,"WolfeStockli2010, EPSL",,,-7244,0.9,0.1,0.05
ZKTB 7553,49.83,12.12,-7553,,0.7,ZHe,"WolfeStockli2010, EPSL",,,-7553,17.7,1.4,0.7
ZKTB 7790,49.83,12.12,-7790,,0.05,ZHe,"WolfeStockli2010, EPSL",,,-7790,1.4,0.1,0.05
ZH034,49.83,12.12,-8080,,0.05,ZHe,"WolfeStockli2010, EPSL",,,-8080,1,0.1,0.05
ZKTB 8257,49.83,12.12,-8257,,0.05,ZHe,"WolfeStockli2010, EPSL",,,-8257,0.8,0.1,0.05
ZKTB 8380,49.83,12.12,-8380,,0.15,ZHe,"WolfeStockli2010, EPSL",,,-8380,4.2,0.3,0.15
ZKTB 9000,49.83,12.12,-9000,,0.05,ZHe,"WolfeStockli2010, EPSL",,,-9000,1.2,0.1,0.05
HC510b,49.83,12.12,-510,,16,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-510,243,16,
HDSP234,49.83,12.12,-1391,,19,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-1391,242,19,
HDSP237,49.83,12.12,-2470,,12,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-2470,211,12,
HC2650,49.83,12.12,-2650,,12,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-2650,243,12,
HDSP238,49.83,12.12,-2700,,13,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-2700,230,13,
HDSP241,49.83,12.12,-3900,,19,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-3900,231,19,
HF4350,49.83,12.12,-4350,,11,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-4350,177,11,
HF4500,49.83,12.12,-4500,,15,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-4500,213,15,
H010-B9,49.83,12.12,-4820,,15,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-4820,129,15,
HC5573,49.83,12.12,-5573,,8.4,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-5573,108,8.4,
H027-D2,49.83,12.12,-6357,,6.9,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-6357,97.5,6.9,
H029,49.83,12.12,-6540,,16,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-6540,112,16,
HC7368,49.83,12.12,-7368,,20,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-7368,212,20,
HC7454,49.83,12.12,-7454,,11,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-7454,162,11,
HC7688b,49.83,12.12,-7688,,9.1,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-7688,154,9.1,
HC8250,49.83,12.12,-8250,,8.4,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-8250,166,8.4,
HC8700,49.83,12.12,-8700,,16,SFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70",,,-8700,111,16,
HDSP386,49.83,12.12,0,,5.03,The,"Stockli and Farley 2004, CG",,,0,87.76,5.03,
HDSP230,49.83,12.12,-321,,4.62,The,"Stockli and Farley 2004, CG",,,-321,80.25,4.62,
HDSP231,49.83,12.12,-510,,4.65,The,"Stockli and Farley 2004, CG",,,-510,80.5,4.65,
HDSP234,49.83,12.12,-1391,,4.8,The,"Stockli and Farley 2004, CG",,,-1391,82.78,4.8,
